Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2015;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Outras espécies;86
31/12/2016;Brasil;Norte;Rondônia;RO;Presidente Médici;Presidente Médici (RO);-11,17;-61,88;Outras espécies;118
31/12/2014;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Outras espécies;105
31/12/2015;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Outras espécies;102
31/12/2016;Brasil;Norte;Rondônia;RO;Rolim de Moura;Rolim de Moura (RO);-11,73;-61,77;Outras espécies;139
31/12/2014;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Outras espécies;532
31/12/2015;Brasil;Norte;Rondônia;RO;Santa Luzia D'Oeste;Santa Luzia D'Oeste (RO);-12,03;-61,7;Outras espécies;516
